BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Impact,N,308299,1,1-Year Manufacturer's Warranty,1-Year Manufacturer's Warranty,1,
Impact,N,308804,1,"Floodlight: Ceramic Socket, 10 or 12"" Reflector, Tilt Bracket","Floodlight: Ceramic Socket, 10 or 12"" Reflector, Tilt Bracket",1,
Impact,N,308804,2,"43"" White Umbrella","43"" White Umbrella",1,
Impact,N,308804,3,"Light Stand, Black (6')","Light Stand, Black (6')",1,262758
Impact,N,308804,4,500W Photoflood Bulb (ECT),500W Photoflood Bulb (ECT),1,
Impact,N,308804,5,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,357125,1,"5/8"" Female Stand Adaptor w/ Female 3/8"" and 1/4""-20 Thread","5/8"" Female Stand Adaptor w/ Female 3/8"" and 1/4""-20 Thread",1,
Impact,N,357125,2,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,358606,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358606,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358607,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358607,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358608,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358608,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358609,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358609,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358610,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358610,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358611,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358611,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358614,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358614,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358616,1,Storage Sleeve,Storage Sleeve,1,
Impact,N,358616,2,1-Year Warranty,1-Year Warranty,1,
Impact,N,358617,1,Storage Sleeve,Storage Sleeve,1,
